generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
37,100,969,0.3322874805928531,31,0,11.25,110,0.97,3.163797179063867,1741002492.5315614
38,100,991,0.33062604318988886,41,0,11.76,126,0.97,3.279924866113751,1741002492.589
39,100,1014,0.3289729129739394,33,0,11.98,126,0.97,3.2707104304793795,1741002492.6143756
40,100,1039,0.3273280484090697,29,0,12.19,118,0.97,3.369719530264754,1741002492.6525629
41,100,1051,0.32569140816702435,39,0,12.79,131,0.97,3.4549327151569416,1741002494.2247977
42,100,1086,0.3240629511261892,23,0,12.99,122,0.97,3.602495349767119,1741002494.2881835
43,100,1107,0.3224426363705583,27,0,13.21,122,0.97,3.6092894797075163,1741002494.3058083
44,100,1129,0.3208304231887055,25,0,13.32,119,0.97,3.647025161476669,1741002494.3300836
45,100,1155,0.31922627107276197,37,0,13.56,123,0.97,3.7115552172028923,1741002494.355201
46,100,1174,0.3176301397173982,25,0,13.58,106,0.97,3.716613737415955,1741002494.3836126
47,100,1184,0.31604198901881114,28,0,13.83,115,0.97,3.7116531620612387,1741002494.4098692
48,100,1185,0.31446177907371714,32,0,14.22,116,0.97,3.7010732830831725,1741002494.4621174
49,100,1212,0.3128894701783485,33,0,14.5,119,0.97,3.739808775327357,1741002494.507012
50,100,1241,0.3113250228274568,30,0,14.48,122,0.97,3.7723819531053366,1741002494.5358598
51,100,1254,0.3097683977133195,35,0,14.84,123,0.97,3.7798648346372166,1741002496.0295055
52,100,1262,0.3082195557247529,27,0,15.29,125,0.97,3.815225883049336,1741002496.0552194
53,100,1284,0.30667845794612913,35,0,15.72,127,0.97,3.8519943488886494,1741002496.0811586
54,100,1304,0.3051450656563985,23,0,15.96,120,0.97,3.7951827450682982,1741002496.103891
55,100,1315,0.3036193403281165,30,0,16.29,126,0.97,3.754510270434619,1741002496.1307144
56,100,1363,0.3021012436264759,27,0,16.24,128,0.97,3.8621700753922794,1741002496.1560843
57,100,1388,0.3005907374083435,28,0,16.66,136,0.97,3.8607188448128906,1741002496.181871
58,100,1418,0.2990877837213018,35,0,16.93,135,0.97,3.8100683587448296,1741002496.2055912
59,100,1455,0.2975923448026953,25,0,17.15,131,0.97,3.7770179872675795,1741002496.2315793
60,100,1475,0.2961043830786818,27,0,17.41,124,0.97,3.8395159317954786,1741002496.2575274
61,100,1494,0.2946238611632884,26,0,17.83,128,0.97,3.8185341549864003,1741002497.8709395
62,100,1520,0.293150741857472,26,0,18.04,137,0.97,3.8723391750018057,1741002497.909928
63,100,1543,0.2916849881481846,22,0,18.35,119,0.97,3.8906078818836303,1741002497.9368665
64,100,1548,0.29022656320744367,31,0,18.8,123,0.97,3.8737757119815193,1741002497.9622083
65,100,1571,0.28877543039140646,30,0,18.91,118,0.97,3.8746451391422987,1741002497.9868739
66,100,1598,0.2873315532394494,27,0,19.01,119,0.97,3.9062411931106755,1741002498.0117166
67,100,1636,0.2858948954732522,28,0,18.97,122,0.97,3.9321646472748784,1741002498.0474775
68,100,1671,0.2844654209958859,23,0,19.12,121,0.97,3.925663931339392,1741002498.0732985
69,100,1673,0.2830430938909065,27,0,19.86,126,0.97,3.926298446528951,1741002498.0977607
70,100,1718,0.2816278784214519,35,0,19.83,121,0.97,3.864830451941741,1741002498.1259027
71,100,1747,0.28021973902934466,23,0,19.99,112,0.97,3.8312068395970336,1741002499.6991427
72,100,1777,0.27881864033419795,32,0,20.2,111,0.97,3.8637677196531013,1741002499.7199185
73,100,1807,0.27742454713252696,26,0,20.34,117,0.97,3.8522906805338666,1741002499.7443194
74,100,1870,0.27603742439686435,23,0,20.25,114,0.97,3.7454254531325875,1741002499.769383
75,100,1894,0.27465723727488,25,0,20.53,112,0.97,3.8322689202932807,1741002499.798712
76,100,1939,0.2732839510885056,28,0,20.62,114,0.97,3.7086695351242716,1741002499.8617587
77,100,1966,0.27191753133306307,15,0,20.72,98,0.97,3.601457772546389,1741002499.8835075
78,100,2012,0.2705579436763978,22,0,20.72,96,0.97,3.3526181544971543,1741002499.9326515
79,100,2023,0.26920515395801575,30,0,21.01,103,0.97,3.412791973615047,1741002499.956873
80,100,2042,0.26785912818822566,30,0,21.1,100,0.97,3.3956024687413446,1741002499.9825945
81,100,2075,0.26651983254728456,23,0,21.14,103,0.97,3.3863438037925495,1741002501.5830827
82,100,2107,0.26518723338454814,24,0,21.34,101,0.97,3.3671667130585754,1741002501.6318567
83,100,2125,0.2638612972176254,26,0,21.53,84,0.97,3.3234153226739336,1741002501.6803439
84,100,2149,0.2625419907315373,26,0,21.64,91,0.97,3.325816397404746,1741002501.7015233
85,100,2164,0.26122928077787955,25,0,21.93,88,0.97,3.336623551527544,1741002501.7264528
86,100,2171,0.2599231343739902,25,0,22.53,86,0.97,3.3528791685243133,1741002501.7569735
87,100,2177,0.25862351870212025,20,0,22.92,98,0.97,3.361224261996418,1741002501.7809188
88,100,2199,0.25733040110860966,33,0,22.97,98,0.97,3.374787528425752,1741002501.8063068
89,100,2217,0.2560437491030666,26,0,23.17,100,0.97,3.4000793674111485,1741002501.864436
90,100,2235,0.2547635303575512,30,0,23.43,104,0.97,3.421067846530669,1741002501.909864
91,100,2256,0.2534897127057635,29,0,23.77,107,0.97,3.467370624160608,1741002503.3815882
92,100,2280,0.25222226414223464,29,0,24.31,118,0.97,3.496288095801191,1741002503.4101627
93,100,2289,0.2509611528215235,33,0,24.62,115,0.97,3.48713121500768,1741002503.458123
94,100,2301,0.24970634705741587,22,0,24.91,117,0.97,3.4895504487352107,1741002503.4895391
95,100,2317,0.24845781532212877,21,0,25.08,107,0.97,3.5052343253493583,1741002503.5340385
96,100,2358,0.24721552624551815,24,0,24.91,115,0.97,3.558566010852526,1741002503.559977
97,100,2390,0.24597944861429055,27,0,25.44,122,0.97,3.5898498416138156,1741002503.5857189
98,100,2423,0.24474955137121912,29,0,25.69,116,0.97,3.619113260168281,1741002503.6109133
99,100,2447,0.24352580361436302,21,0,25.86,119,0.97,3.631930134211794,1741002503.6345572
100,100,2463,0.24230817459629117,17,0,26.11,111,0.97,3.6146924755571392,1741002503.6892142
101,100,2483,0.24109663372330972,24,0,26.12,109,0.97,3.61994814201819,1741002505.269388
102,100,2496,0.2398911505546932,27,0,26.65,118,0.97,3.622904489469184,1741002505.3014135
103,100,2495,0.23869169480191973,22,0,26.97,126,0.97,3.6164861344837136,1741002505.325679
104,100,2497,0.23749823632791012,31,0,27.61,123,0.97,3.6134096125267314,1741002505.384376
105,100,2510,0.2363107451462706,29,0,28.35,128,0.97,3.6397304650205475,1741002505.4145968
106,100,2522,0.23512919142053923,20,0,28.62,127,0.97,3.6662880016538266,1741002505.4669278
107,100,2541,0.2339535454634365,31,0,28.95,131,0.97,3.6977392483180527,1741002505.5187247
108,100,2564,0.23278377773611936,19,0,29.31,134,0.97,3.694093924833665,1741002505.5756116
109,100,2582,0.23161985884743874,17,0,29.5,134,0.97,3.6895592765910465,1741002505.625131
110,100,2593,0.23046175955320153,28,0,29.85,130,0.97,3.678998389420358,1741002505.6752336
111,100,2600,0.22930945075543555,20,0,30.23,125,0.97,3.6770618153857977,1741002507.209953
112,100,2615,0.22816290350165835,21,0,30.33,127,0.97,3.706867222502294,1741002507.2372012
113,100,2635,0.22702208898415008,25,0,30.4,128,0.97,3.7229010837054934,1741002507.262446
114,100,2655,0.2258869785392293,21,0,30.47,122,0.97,3.722261532204293,1741002507.2880974
115,100,2665,0.22475754364653314,24,0,30.86,129,0.97,3.732817250343385,1741002507.3142674
116,100,2680,0.22363375592830048,20,0,30.89,126,0.97,3.737194490209975,1741002507.3400328
117,100,2732,0.22251558714865902,17,0,30.36,116,0.97,3.726898353526713,1741002507.3661318
118,100,2729,0.2214030092129157,18,0,30.78,122,0.97,3.738089597623434,1741002507.3921201
119,100,2764,0.2202959941668511,30,0,30.54,130,0.97,3.7305169472598108,1741002507.418278
120,100,2814,0.21919451419601688,30,0,30.29,128,0.97,3.7199122053418576,1741002507.479011
121,100,2849,0.21809854162503678,28,0,30.15,126,0.97,3.7009564080697137,1741002508.9659534
122,100,2864,0.2170080489169116,20,0,30.18,124,0.97,3.6824956112322282,1741002508.9971354
123,100,2871,0.21592300867232705,26,0,30.42,126,0.97,3.702868539053658,1741002509.0259998
124,100,2882,0.21484339362896537,22,0,30.7,118,0.97,3.7081401945627745,1741002509.0550673
125,100,2891,0.21376917666082057,19,0,31.05,121,0.97,3.712139308705738,1741002509.0842886
126,100,2916,0.2127003307775165,23,0,30.93,122,0.97,3.6802536663221868,1741002509.1108668
127,100,2955,0.21163682912362886,20,0,31.02,119,0.97,3.690050464875573,1741002509.140373
128,100,2979,0.2105786449780107,30,0,31.03,119,0.97,3.6695979714311,1741002509.1695213
129,100,3010,0.20952575175312066,23,0,31.08,112,0.97,3.6268281596547367,1741002509.2280216
130,100,3036,0.20847812299435506,22,0,31.2,97,0.97,3.624897205897912,1741002509.2581801
131,100,3057,0.2074357323793833,22,0,31.33,95,0.97,3.634600071152369,1741002510.756481
132,100,3080,0.2063985537174864,20,0,31.52,97,0.97,3.6438027434613374,1741002510.788103
133,100,3094,0.20536656094889896,14,0,31.71,96,0.97,3.6666968274088005,1741002510.8160994
134,100,3112,0.20433972814415446,17,0,31.81,95,0.97,3.6847129613672447,1741002510.8437638
135,100,3131,0.2033180295034337,21,0,32.12,98,0.97,3.7143015057843383,1741002510.8717144
136,100,3157,0.20230143935591652,24,0,32.52,103,0.97,3.7422965148884435,1741002510.8999214
137,100,3192,0.20128993215913693,18,0,32.81,99,0.97,3.7464915384099458,1741002510.9281874
138,100,3200,0.20028348249834124,16,0,33.2,92,0.97,3.712431146445828,1741002510.9897976
139,100,3211,0.19928206508584953,22,0,33.78,93,0.97,3.658016171919818,1741002511.0188894
140,100,3227,0.1982856547604203,26,0,34.07,92,0.97,3.644414787643563,1741002511.0477731
141,100,3246,0.19729422648661818,18,0,34.14,89,0.97,3.6585652079190507,1741002512.5594769
142,100,3262,0.1963077553541851,21,0,34.48,97,0.97,3.6712528689247237,1741002512.5918577
143,100,3277,0.19532621657741417,23,0,34.81,94,0.97,3.6807794772689744,1741002512.6213458
144,100,3296,0.19434958549452708,26,0,35.19,95,0.97,3.6973735646454484,1741002512.6507947
145,100,3305,0.19337783756705446,13,0,35.52,101,0.97,3.718263611322013,1741002512.6802967
